,American Indian or Alaska Native,White,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Unknown
Acinetobacter johnsonii,0.0,0.0,0.0,0.05084598168039507,0.0,0.0
Bacteroides vulgatus,0.0,0.0,0.0,0.09359078400893871,0.0,0.0
Gardnerella vaginalis,0.0,0.0,0.0,0.0,0.0551804707490583,0.0
Haemophilus haemolyticus,0.0,0.0,0.0,0.17384868386007712,0.0,0.0
Lactobacillus crispatus,0.0,0.23752081144485648,0.17432686256579374,0.0,0.07276293341944925,0.18578288188090036
Lactobacillus gasseri,0.04934688479151852,0.04384570376879352,0.09882316516511101,0.0,0.0,0.0
Lactobacillus helveticus,0.0,0.04236257877232027,0.06068243986214492,0.3410151655519253,0.0,0.08560620898493781
Lactobacillus iners,0.16617917482974506,0.22377096521511597,0.2372819757373221,0.0,0.2171573709748159,0.10224265197022764
Lactobacillus jensenii,0.0,0.03969520846460643,0.11253835865648402,0.0,0.0,0.0
Lactobacillus johnsonii,0.0,0.0,0.0,0.0,0.0,0.08120540232479415
Megasphaera,0.0,0.0,0.0,0.0,0.03287980993537902,0.0
Prevotella colorans,0.11202429683621114,0.0,0.0,0.0,0.0,0.0
Prevotella timonensis,0.09620500945561132,0.0,0.0,0.04455285792448125,0.0,0.0
Ruminococcus bicirculans,0.07164886518494416,0.0,0.0,0.0,0.0,0.0
Weissella,0.0,0.0,0.0,0.0,0.16959057208918119,0.07238237409705914
