,0
0,CST_x
1,subCST_x
2,score_x
3,I-A_sim_x
4,I-B_sim_x
5,II_sim_x
6,III-A_sim_x
7,III-B_sim_x
8,IV-A_sim_x
9,IV-B_sim_x
10,IV-C0_sim_x
11,IV-C1_sim_x
12,IV-C2_sim_x
13,IV-C3_sim_x
14,IV-C4_sim_x
15,V_sim_x
16,Unnamed: 0
17,read_count
18,Atopobium_deltae
19,Atopobium_minutum
20,Atopobium_parvulum
21,Atopobium_rimae
22,Atopobium_vaginae
23,Campylobacter_sputorum
24,Candidatus_Pelagibacter_ubique
25,Gardnerella_vaginalis
26,Lactobacillus_acidophilus
27,Lactobacillus_amylovorus
28,Lactobacillus_brevis
29,Lactobacillus_casei
30,Lactobacillus_coleohominis
31,Lactobacillus_crispatus
32,Lactobacillus_delbrueckii
33,Lactobacillus_fermentum
34,Lactobacillus_gallinarum
35,Lactobacillus_gasseri
36,Lactobacillus_helveticus
37,Lactobacillus_iners
38,Lactobacillus_jensenii
39,Lactobacillus_johnsonii
40,Lactobacillus_kitasatonis
41,Lactobacillus_oris
42,Lactobacillus_panis
43,Lactobacillus_paracasei
44,Lactobacillus_plantarum
45,Lactobacillus_pontis
46,Lactobacillus_psittaci
47,Lactobacillus_reuteri
48,Lactobacillus_rhamnosus
49,Lactobacillus_ruminis
50,Lactobacillus_sakei
51,Lactobacillus_salivarius
52,Lactobacillus_taiwanensis
53,Lactobacillus_vaginalis
54,Mycoplasma_genitalium
55,Mycoplasma_hominis
56,Petrimonas_sulfuriphila
57,Porphyromonas_asaccharolytica
58,Porphyromonas_uenonis
59,Prevotella_amnii
60,Prevotella_baroniae
61,Prevotella_bergensis
62,Prevotella_bivia
63,Prevotella_brunnea
64,Prevotella_buccae
65,Prevotella_buccalis
66,Prevotella_colorans
67,Prevotella_conceptionensis
68,Prevotella_copri
69,Prevotella_corporis
70,Prevotella_denticola
71,Prevotella_disiens
72,Prevotella_enoeca
73,Prevotella_fusca
74,Prevotella_histicola
75,Prevotella_ihumii
76,Prevotella_intermedia
77,Prevotella_jejuni
78,Prevotella_maculosa
79,Prevotella_marseillensis
80,Prevotella_marshii
81,Prevotella_melaninogenica
82,Prevotella_micans
83,Prevotella_multiformis
84,Prevotella_nanceiensis
85,Prevotella_nigrescens
86,Prevotella_oralis
87,Prevotella_oris
88,Prevotella_oulorum
89,Prevotella_pallens
90,Prevotella_pleuritidis
91,Prevotella_saccharolytica
92,Prevotella_salivae
93,Prevotella_scopos
94,Prevotella_shahii
95,Prevotella_stercorea
96,Prevotella_timonensis
97,Prevotella_veroralis
98,Prevotellamassilia_timonensis
99,Sneathia_amnii
100,Sneathia_sanguinegens
101,f_Abitibacteriaceae
102,f_Acetobacteraceae
103,f_Acidaminococcaceae
104,f_Acidimicrobiales
105,f_Acidobacteria <Acidobacteria>
106,f_Acidobacteriaceae
107,f_Acidobacteriia
108,f_Actinobacteria <actinobacteria>
109,f_Actinobacteria <high GC Gram+>
110,f_Actinobacteria_<actinobacteria>
111,f_Actinomycetaceae
112,f_Aerococcaceae
113,f_Aeromonadaceae
114,f_Aeromonadales
115,f_Akkermansiaceae
116,f_Alcaligenaceae
117,f_Alcanivoracaceae
118,f_Alicyclobacillaceae
119,f_Alphaproteobacteria
120,f_Alteromonadaceae
121,f_Ancalomicrobiaceae
122,f_Archaea
123,f_Archangiaceae
124,f_Atopobiaceae
125,f_Aurantimonadaceae
126,f_Azonexaceae
127,f_Bacillaceae
128,f_Bacillales
129,f_Bacillales Family X. Incertae Sedis
130,f_Bacillales Family XI. Incertae Sedis
131,f_Bacillales Family XII. Incertae Sedis
132,f_Bacillales incertae sedis
133,f_Bacilli
134,f_Bacteria <bacteria>
135,f_Bacteria_<bacteria>
136,f_Bacteriovoracaceae
137,f_Bacteroidaceae
138,f_Bacteroidales
139,f_Bacteroidetes
140,f_Bacteroidetes <Bacteroidetes>
141,f_Bacteroidia
142,f_Barnesiellaceae
143,f_Bartonellaceae
144,f_Bdellovibrionaceae
145,f_Bifidobacteriaceae
146,f_Blastocatellaceae
147,f_Blastocatellales
148,f_Blattabacteriaceae
149,f_Bradyrhizobiaceae
150,f_Brevibacteriaceae
151,f_Brucellaceae
152,f_Bryobacteraceae
153,f_Burkholderiaceae
154,f_Burkholderiales Genera incertae sedis
155,f_Caedimonadaceae
156,f_Campylobacteraceae
157,f_Campylobacterales
158,f_Candidatus Borkfalkiaceae
159,f_Candidatus Methanomethylophilaceae
160,f_Candidatus Nanopelagicaceae
161,f_Candidatus Paracaedibacteraceae
162,f_Candidatus_Paracaedibacteraceae
163,f_Cardiobacteriaceae
164,f_Carnobacteriaceae
165,f_Catabacteriaceae
166,f_Caulobacteraceae
167,f_Cellvibrionaceae
168,f_Chelatococcaceae
169,f_Chitinophagaceae
170,f_Chitinophagales
171,f_Chlamydiaceae
172,f_Chlamydiia
173,f_Chloroflexi <Chloroflexi>
174,f_Chloroflexi_<Chloroflexi>
175,f_Christensenellaceae
176,f_Chromatiaceae
177,f_Chromobacteriaceae
178,f_Chroococcales
179,f_Clostridia
180,f_Clostridiaceae
181,f_Clostridiales
182,f_Clostridiales Family XIII. Incertae Sedis
183,f_Clostridiales incertae sedis
184,f_Comamonadaceae
185,f_Conexibacteraceae
186,f_Coriobacteriaceae
187,f_Coriobacteriia
188,f_Corynebacteriaceae
189,f_Corynebacteriales
190,f_Coxiellaceae
191,f_Crocinitomicaceae
192,f_Cryptosporangiaceae
193,f_Cyanobacteria
194,f_Cystobacterineae
195,f_Cytophagaceae
196,f_Dapisostemonaceae
197,f_Defluviitaleaceae
198,f_Deinococcaceae
199,f_Deinococcales
