specimen,shannon,inv_simpson,bwpd,phylo_entropy,quadratic,unrooted_pd,rooted_pd
A00001-05,1.0,1.0,0.0,-0.0,0.0,0.0,2.53935
A00002-01,1.96362,1.81277,2.62894,1.31887,0.876314,3.94341,4.14816
A00003-02,1.0,1.0,0.0,-0.0,0.0,0.0,2.62632
A00004-08,1.0,1.0,0.0,-0.0,0.0,0.0,1.8387
A00004-12,6.94884,4.07385,2.78896,3.13422,1.2199,15.5185,15.5846
A00004-13,3.04127,2.30305,2.50535,1.86693,0.949672,6.41887,6.5814
A00004-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.47114
A00004-18,2.0747,1.89937,2.54592,1.308,0.84864,3.81888,4.02362
A00004-20,1.0,1.0,0.0,-0.0,0.0,0.0,2.00205
A00004-22,1.0,1.0,0.0,-0.0,0.0,0.0,2.11443
A00005-02,1.85087,1.79889,3.25318,1.12747,0.813296,3.25318,3.45792
A00005-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.73089
A00005-10,2.49608,2.30617,3.22363,1.73542,1.07454,4.83545,4.99798
A00005-11,6.05325,3.35776,2.71519,3.04468,1.18734,14.8242,15.0289
A00005-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.21851
A00005-14,6.90147,3.82543,3.0407,3.44935,1.31884,18.4116,18.5741
A00005-15,2.67279,2.48766,3.07679,1.68605,1.0256,4.61519,4.77772
A00005-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.37319
A00006-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.23463
A00006-03,1.88744,1.84575,3.56472,1.23544,0.89118,3.56472,3.72725
A00007-01,2.49338,2.23107,2.799,1.44642,0.873553,4.18942,4.35196
A00008-02,1.0,1.0,0.0,-0.0,0.0,0.0,1.5882
A00008-08,2.34379,2.12473,2.41737,1.29658,0.80579,3.62605,3.8308
A00008-13,1.0,1.0,0.0,-0.0,0.0,0.0,2.71486
A00008-14,1.0,1.0,0.0,-0.0,0.0,0.0,1.67196
A00008-16,2.52896,2.26055,3.38107,1.75845,1.05686,5.07382,5.27856
A00008-17,1.0,1.0,0.0,-0.0,0.0,0.0,3.27938
A00009-04,1.58125,1.49373,2.07183,0.718042,0.517958,2.07183,2.60294
A00009-09,3.30144,2.79266,3.26874,2.20649,1.1859,6.65186,6.8566
A00009-11,1.82458,1.76611,2.68254,0.929696,0.670634,2.68254,2.88728
A00009-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.50945
A00009-15,2.9428,2.45005,3.17015,2.11734,1.161,6.58708,6.74961
A00010-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.47978
A00010-02,2.06211,1.8322,2.26382,1.20238,0.754606,3.39573,3.78214
A00010-03,3.33955,2.94448,3.21318,2.15872,1.18223,6.24468,6.40721
A00010-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.69811
A00010-08,2.07273,1.8273,2.01054,1.07892,0.670178,3.0158,3.40222
A00011-01,1.84651,1.7934,2.49672,0.865298,0.624181,2.49672,2.65926
A00011-03,3.09421,2.65052,3.17632,2.12774,1.17303,6.20794,6.41268
A00011-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.57385
A00011-06,1.87381,1.82811,3.94557,1.36743,0.986394,3.94557,4.15032
A00012-01,6.70614,4.04004,3.02604,3.27686,1.29571,16.5127,16.6753
A00012-03,1.88467,1.84215,4.36936,1.5143,1.09234,4.36936,4.5741
A00012-04,1.0,1.0,0.0,-0.0,0.0,0.0,1.62124
A00012-06,1.0,1.0,0.0,-0.0,0.0,0.0,1.44061
A00012-07,2.16528,1.9837,3.01567,1.56604,1.00522,4.52351,4.72825
A00012-08,1.8083,1.74616,2.40739,0.834337,0.601847,2.40739,2.61213
A00012-09,4.10963,3.34626,3.34332,2.6321,1.30579,8.50087,8.6634
A00012-10,3.72239,2.7212,2.52578,2.1516,1.03542,7.27146,7.4762
A00012-13,1.0,1.0,0.0,-0.0,0.0,0.0,1.46879
A00012-14,1.18343,1.13829,0.753345,0.261089,0.188336,0.753345,1.92692
A00012-17,2.67426,2.48969,3.09326,1.6951,1.03109,4.63989,4.80242
A00012-18,3.815,2.96516,3.57453,2.65305,1.31321,9.17121,9.33375
A00012-19,1.66461,1.58126,2.14559,0.743605,0.536397,2.14559,2.532
A00012-20,1.0,1.0,0.0,-0.0,0.0,0.0,1.51432
A00012-22,1.85654,1.80606,2.70209,0.936472,0.675522,2.70209,2.86462
A00012-23,3.18735,2.60455,3.45568,2.24023,1.19058,7.139,7.34374
A00012-24,1.0,1.0,0.0,-0.0,0.0,0.0,1.3612
A00012-25,1.0,1.0,0.0,-0.0,0.0,0.0,2.5066
A00012-26,2.93325,2.55334,3.79742,2.36131,1.33491,6.88186,7.0866
A00013-03,4.20631,3.15507,2.75941,2.30853,1.09763,8.02343,8.18597
A00013-04,3.84317,3.16999,3.11071,2.3958,1.21817,7.45041,7.61294
A00013-05,2.56059,2.35653,2.61365,1.42301,0.871217,3.92048,4.08301
A00013-06,1.7226,1.64554,2.8149,0.975571,0.703726,2.8149,3.20132
A00013-07,1.85776,1.8076,3.43772,1.19142,0.85943,3.43772,3.64246
A00013-08,1.0,1.0,0.0,-0.0,0.0,0.0,1.72376
A00013-09,3.28212,2.87164,2.8992,1.94108,1.06449,5.61672,5.77925
A00013-10,3.92748,2.9312,2.78648,2.27605,1.09617,7.90333,8.06586
A00013-13,3.42706,2.97376,4.1179,2.7674,1.49126,8.34604,8.50857
A00013-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.18112
A00014-01,1.0,1.0,0.0,-0.0,0.0,0.0,2.29596
A00014-02,1.0,1.0,0.0,-0.0,0.0,0.0,1.58565
A00014-04,3.5433,2.88222,3.26851,2.37017,1.22352,7.66832,7.83086
A00014-11,1.0,1.0,0.0,-0.0,0.0,0.0,1.86014
A00014-13,1.0,1.0,0.0,-0.0,0.0,0.0,2.70394
A00014-17,1.0,1.0,0.0,-0.0,0.0,0.0,1.813
A00014-20,3.07754,2.68608,2.79989,1.78015,0.994032,5.15236,5.3149
A00014-21,1.84982,1.79757,3.22676,1.11831,0.80669,3.22676,3.4315
A00014-22,1.86791,1.82054,2.97257,1.03022,0.743143,2.97257,3.13511
A00015-17,1.0,1.0,0.0,-0.0,0.0,0.0,1.2836
A00016-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.1321
A00016-04,1.0,1.0,0.0,-0.0,0.0,0.0,1.34316
A00017-01,1.0,1.0,0.0,-0.0,0.0,0.0,1.52234
A00017-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.95331
A00017-14,1.0,1.0,0.0,-0.0,0.0,0.0,1.59339
A00017-22,3.74551,2.86127,4.04156,2.93893,1.44771,10.678,10.8828
A00017-25,2.0,2.0,4.64896,1.61121,1.16224,4.64896,4.64896
A00018-01,4.08215,3.16841,3.06106,2.48992,1.21145,8.48234,8.64488
A00018-02,4.55909,3.20466,2.9421,2.47835,1.12383,10.0575,10.22
A00018-08,1.89093,1.8503,3.69288,1.27986,0.923221,3.69288,3.85542
A00018-12,1.0,1.0,0.0,-0.0,0.0,0.0,1.54333
A00018-14,3.1489,2.40941,2.5057,1.85005,0.943468,6.19509,6.35763
A00018-16,1.0,1.0,0.0,-0.0,0.0,0.0,1.78567
A00018-20,3.46502,2.58436,2.47451,2.00245,0.987845,6.68609,6.89083
A00018-26,1.0,1.0,0.0,-0.0,0.0,0.0,1.75247
A00018-27,1.0,1.0,0.0,-0.0,0.0,0.0,1.83523
A00018-30,3.96943,3.01427,2.59017,2.15118,1.04272,7.11318,7.31792
A00019-02,1.0,1.0,0.0,-0.0,0.0,0.0,2.09548
A00019-03,1.0,1.0,0.0,-0.0,0.0,0.0,1.81781
A00019-04,3.31835,2.91732,3.09115,2.07414,1.13647,6.00063,6.16316
A00019-05,2.34073,2.13242,2.77145,1.47947,0.923816,4.15717,4.36191
A00019-06,4.82808,3.44867,3.25005,2.8255,1.27422,11.2936,11.4561
A00019-07,1.80259,1.73924,2.32173,0.804652,0.580434,2.32173,2.52648
A00020-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.42536
A00020-06,1.0,1.0,0.0,-0.0,0.0,0.0,1.52399
A00020-12,1.0,1.0,0.0,-0.0,0.0,0.0,2.676
A00020-15,1.0,1.0,0.0,-0.0,0.0,0.0,3.00296
A00020-20,4.3709,3.25413,2.90171,2.38662,1.12084,8.76312,8.92566
A00020-22,2.03597,1.7833,2.03355,1.14875,0.709699,3.64404,3.80658
A00020-24,1.82097,1.76167,2.61724,0.907065,0.654309,2.61724,2.82198
A00020-25,2.10626,1.92833,2.69891,1.39204,0.899636,4.04836,4.2531
A00020-27,2.30959,2.11132,2.44411,1.29561,0.814703,3.66616,3.8287
A00021-08,2.39879,2.18462,2.7331,1.47001,0.911034,4.09965,4.30439
A00021-09,1.0,1.0,0.0,-0.0,0.0,0.0,1.76512
A00021-10,1.0,1.0,0.0,-0.0,0.0,0.0,1.75353
A00021-11,1.87873,1.83445,4.1281,1.43069,1.03203,4.1281,4.33284
A00021-13,1.0,1.0,0.0,-0.0,0.0,0.0,1.47884
A00022-03,1.88361,1.84078,4.32464,1.49881,1.08116,4.32464,4.52938
A00022-05,1.0,1.0,0.0,-0.0,0.0,0.0,1.64867
A00022-08,1.57192,1.48426,1.9948,0.691344,0.4987,1.9948,2.52591
A00022-09,1.0,1.0,0.0,-0.0,0.0,0.0,1.76265
A00022-10,1.0,1.0,0.0,-0.0,0.0,0.0,1.03543
A00022-13,1.0,1.0,0.0,-0.0,0.0,0.0,2.73868
A00022-15,1.99837,1.72921,1.87468,1.02592,0.624895,2.81203,3.34314
A00022-16,1.58763,1.50024,2.28726,0.792702,0.571814,2.28726,2.85853
A00022-17,1.08686,1.06392,0.683145,0.23676,0.170786,0.683145,3.18417
A00022-18,1.66609,1.58286,2.15974,0.748508,0.539935,2.15974,2.54615
A00023-04,2.35202,2.13752,2.587,1.38591,0.862332,3.88049,4.08524
A00023-13,1.0,1.0,0.0,-0.0,0.0,0.0,1.2846
A00023-16,4.93593,3.45394,2.76219,2.54911,1.13438,9.71353,9.87607
A00023-19,1.70157,1.62188,2.54212,0.881033,0.635531,2.54212,2.92854
A00023-20,1.0,1.0,0.0,-0.0,0.0,0.0,1.4641
