specimen,CST,subCST,score,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim
A00001-05,III,III-B,0.8685611367684396,0.0022660862752725,0.045526491256569,0.1645637681817458,0.8056936393448244,0.8685611367684396,0.0664622470768352,0.1449348954499899,0.1131053511426103,0.0198018249221198,0.0145671189272819,0.0019999050936742,0.1391601966641638,0.2656816718039492
A00002-01,III,III-A,0.0007721260253897,8.79679548574909e-06,0.0001039476211944,0.0004510014399863,0.0007721260253897,0.0007403946724469,0.0001724600675215,0.0002142743142491,0.0002972044415133,5.088912890905109e-05,3.1661073385211753e-05,1.0202528998003518e-05,0.0001914655297854,0.0006565275204146
A00003-02,II,II,0.001251745323105,2.311477967444868e-06,4.220047993353686e-05,0.001251745323105,9.364576601913716e-06,1.5041983924462253e-05,6.381906771173699e-06,1.9662622346863547e-05,8.639009802874264e-05,2.990973959858404e-05,3.640811819715536e-05,1.3641332102129277e-05,1.59156887515285e-05,7.094232060106447e-05
A00004-08,III,III-A,0.996735632260648,0.0024492254218613,0.0433875415078327,0.0464780848729328,0.996735632260648,0.8161339676078415,0.0537204940402181,0.1156480589849944,0.0762478870753772,0.0175660683338036,0.0116755294032269,0.0009349404005838,0.1229824016239613,0.2395103690448413
A00004-12,III,III-A,0.957829218950086,0.0023850672469277,0.0437771576874075,0.0473632210348159,0.957829218950086,0.85336369161804,0.0578978086471215,0.1252070040479743,0.0847409752146633,0.0178348486949967,0.0118874250702246,0.000952450086623,0.1291316938379323,0.2491429449190491
A00004-13,III,III-A,0.8593841065757236,0.0022391166969857,0.0425085662942384,0.046442467018481,0.8593841065757236,0.8354018369888478,0.060119598049606,0.130246490629008,0.0918275560231833,0.0174489196758446,0.0116413435784787,0.0009345934579103,0.1304356737067799,0.2479904791811753
A00004-16,III,III-A,0.9953713399814472,0.002448608623706,0.0432560068001819,0.0463030889630127,0.9953713399814472,0.8101222643698277,0.0533076958400315,0.1147127052405778,0.0754633449084705,0.0175024530836299,0.0116341651425931,0.0009309018685747,0.122229486284086,0.2381447965348146
A00004-18,III,III-A,0.9757468535348452,0.0024138833896806,0.0436556428960677,0.0470279907423194,0.9757468535348452,0.8388414745749951,0.0560430071500072,0.1209380959990832,0.0810313183363808,0.0177348174622299,0.0118043868563669,0.0009448648558042,0.126606042949296,0.2452968507909819
A00004-20,III,III-A,0.995841687440205,0.0024496823994773,0.0432248293147285,0.0462554265614527,0.995841687440205,0.8083794068553776,0.0531663152954395,0.1143896829360911,0.0751792960853193,0.0174862688845054,0.0116229925946441,0.0009299015110179,0.1219864088756344,0.2377265245292304
A00004-22,III,III-A,0.996798968890098,0.0024500109657367,0.0433141474754084,0.0463743767812455,0.996798968890098,0.8124585685021525,0.0534436311364992,0.1150233581128462,0.0756857977920992,0.0175283970548655,0.0116511924538566,0.0009325136796383,0.1224970855833519,0.2386582396088023
A00005-02,II,II,0.881326625974607,0.0006552426781357,0.0142444624756957,0.881326625974607,0.0033809405492472,0.0042986466955031,0.000451974412879,0.0027406451893069,0.0193301909772861,0.0105332309131376,0.0135610481509405,0.0050777227280127,0.0058803798854834,0.0265538567991533
