specimen,CST I-A,CST I-B,CST II,CST III-A,CST III-B,CST IV-A,CST IV-B,CST IV-C0,CST IV-C2,CST IV-C4,CST V
A00001-05,0,0,0,0,1,0,0,0,0,0,0
A00002-01,0,0,0,1,0,0,0,0,0,0,0
A00003-02,0,0,1,0,0,0,0,0,0,0,0
A00004-08,0,0,0,1,0,0,0,0,0,0,0
A00004-12,0,0,0,1,0,0,0,0,0,0,0
A00004-13,0,0,0,1,0,0,0,0,0,0,0
A00004-16,0,0,0,1,0,0,0,0,0,0,0
A00004-18,0,0,0,1,0,0,0,0,0,0,0
A00004-20,0,0,0,1,0,0,0,0,0,0,0
A00004-22,0,0,0,1,0,0,0,0,0,0,0
A00005-02,0,0,1,0,0,0,0,0,0,0,0
A00005-05,0,0,1,0,0,0,0,0,0,0,0
A00005-10,0,0,1,0,0,0,0,0,0,0,0
A00005-11,0,0,1,0,0,0,0,0,0,0,0
A00005-12,0,0,1,0,0,0,0,0,0,0,0
A00005-14,0,0,1,0,0,0,0,0,0,0,0
A00005-15,0,0,1,0,0,0,0,0,0,0,0
A00005-16,0,0,1,0,0,0,0,0,0,0,0
A00006-01,0,0,1,0,0,0,0,0,0,0,0
A00006-03,0,0,1,0,0,0,0,0,0,0,0
A00007-01,0,0,0,1,0,0,0,0,0,0,0
A00008-02,0,0,0,0,0,0,1,0,0,0,0
A00008-08,0,0,0,0,0,0,1,0,0,0,0
A00008-13,0,0,0,0,0,0,1,0,0,0,0
A00008-14,0,0,0,0,0,0,1,0,0,0,0
A00008-16,0,0,0,0,1,0,0,0,0,0,0
A00008-17,0,0,0,0,1,0,0,0,0,0,0
A00009-04,0,0,0,0,0,0,0,1,0,0,0
A00009-09,0,0,0,0,0,0,1,0,0,0,0
A00009-11,0,0,0,0,0,0,1,0,0,0,0
A00009-12,0,0,0,0,0,0,0,1,0,0,0
A00009-15,0,0,0,0,0,0,1,0,0,0,0
A00010-01,0,0,0,0,1,0,0,0,0,0,0
A00010-02,0,0,0,0,1,0,0,0,0,0,0
A00010-03,0,0,0,0,0,0,0,1,0,0,0
A00010-05,0,0,0,0,1,0,0,0,0,0,0
A00010-08,0,0,0,0,1,0,0,0,0,0,0
A00011-01,0,0,0,0,0,0,0,1,0,0,0
A00011-03,0,0,0,0,0,1,0,0,0,0,0
A00011-05,0,0,0,0,0,0,0,1,0,0,0
A00011-06,0,0,0,0,0,0,0,1,0,0,0
A00012-01,0,0,0,0,1,0,0,0,0,0,0
A00012-03,0,0,0,0,1,0,0,0,0,0,0
A00012-04,0,0,0,0,0,0,0,1,0,0,0
A00012-06,0,0,0,0,0,0,0,1,0,0,0
A00012-07,0,0,0,0,0,0,0,1,0,0,0
A00012-08,0,0,0,0,0,0,0,1,0,0,0
A00012-09,0,0,0,0,1,0,0,0,0,0,0
A00012-10,0,0,0,0,0,0,0,1,0,0,0
A00012-13,0,0,1,0,0,0,0,0,0,0,0
A00012-14,0,0,1,0,0,0,0,0,0,0,0
A00012-17,0,0,0,0,1,0,0,0,0,0,0
A00012-18,0,0,1,0,0,0,0,0,0,0,0
A00012-19,0,0,0,0,1,0,0,0,0,0,0
A00012-20,0,0,0,0,1,0,0,0,0,0,0
A00012-22,0,0,0,0,1,0,0,0,0,0,0
A00012-23,0,0,0,0,1,0,0,0,0,0,0
A00012-24,0,0,0,0,1,0,0,0,0,0,0
A00012-25,0,0,1,0,0,0,0,0,0,0,0
A00012-26,0,0,1,0,0,0,0,0,0,0,0
A00013-03,0,0,0,0,1,0,0,0,0,0,0
A00013-04,0,0,0,0,0,0,0,1,0,0,0
A00013-05,0,0,0,0,0,0,1,0,0,0,0
A00013-06,0,0,0,0,0,0,0,1,0,0,0
A00013-07,0,0,1,0,0,0,0,0,0,0,0
A00013-08,0,0,1,0,0,0,0,0,0,0,0
A00013-09,0,0,1,0,0,0,0,0,0,0,0
A00013-10,0,0,0,0,0,0,1,0,0,0,0
A00013-13,0,0,0,0,0,0,0,1,0,0,0
A00013-16,0,0,1,0,0,0,0,0,0,0,0
A00014-01,0,0,0,0,0,0,0,1,0,0,0
A00014-02,0,0,0,0,0,0,0,1,0,0,0
A00014-04,0,0,0,0,0,0,0,1,0,0,0
A00014-11,0,0,0,1,0,0,0,0,0,0,0
A00014-13,0,0,0,0,0,0,0,1,0,0,0
A00014-17,0,0,0,0,0,1,0,0,0,0,0
A00014-20,0,0,0,0,0,0,0,1,0,0,0
A00014-21,0,0,0,0,0,0,0,1,0,0,0
A00014-22,0,0,0,0,0,0,0,1,0,0,0
A00015-17,0,0,0,1,0,0,0,0,0,0,0
A00016-01,0,0,0,1,0,0,0,0,0,0,0
A00016-04,0,0,0,1,0,0,0,0,0,0,0
A00017-01,0,0,0,0,1,0,0,0,0,0,0
A00017-12,0,0,0,1,0,0,0,0,0,0,0
A00017-14,0,0,0,1,0,0,0,0,0,0,0
A00017-22,0,0,0,1,0,0,0,0,0,0,0
A00017-25,0,0,0,0,1,0,0,0,0,0,0
A00018-01,0,0,0,0,0,0,0,1,0,0,0
A00018-02,0,0,1,0,0,0,0,0,0,0,0
A00018-08,0,0,0,0,1,0,0,0,0,0,0
A00018-12,0,0,1,0,0,0,0,0,0,0,0
A00018-14,0,0,0,0,0,0,1,0,0,0,0
A00018-16,0,0,1,0,0,0,0,0,0,0,0
A00018-20,0,0,1,0,0,0,0,0,0,0,0
A00018-26,0,0,1,0,0,0,0,0,0,0,0
A00018-27,0,0,1,0,0,0,0,0,0,0,0
A00018-30,0,0,0,0,0,0,1,0,0,0,0
A00019-02,0,0,0,0,0,0,1,0,0,0,0
A00019-03,0,0,0,0,0,0,1,0,0,0,0
A00019-04,0,0,0,0,0,0,1,0,0,0,0
A00019-05,0,0,0,0,0,0,1,0,0,0,0
A00019-06,0,0,1,0,0,0,0,0,0,0,0
A00019-07,0,0,1,0,0,0,0,0,0,0,0
A00020-05,0,0,0,1,0,0,0,0,0,0,0
A00020-06,0,0,0,1,0,0,0,0,0,0,0
A00020-12,0,0,0,1,0,0,0,0,0,0,0
A00020-15,0,0,0,1,0,0,0,0,0,0,0
A00020-20,0,0,0,0,1,0,0,0,0,0,0
A00020-22,0,0,0,1,0,0,0,0,0,0,0
A00020-24,0,0,0,1,0,0,0,0,0,0,0
A00020-25,0,0,0,1,0,0,0,0,0,0,0
A00020-27,0,0,0,1,0,0,0,0,0,0,0
A00021-08,0,0,0,0,0,0,0,1,0,0,0
A00021-09,0,0,0,0,0,0,0,1,0,0,0
A00021-10,0,0,0,0,0,0,0,1,0,0,0
A00021-11,0,0,0,0,0,0,0,1,0,0,0
A00021-13,0,0,0,0,0,0,0,1,0,0,0
A00022-03,0,0,0,0,0,0,1,0,0,0,0
A00022-05,0,0,0,0,0,0,1,0,0,0,0
A00022-08,0,0,0,0,0,0,0,1,0,0,0
A00022-09,0,0,0,0,0,0,1,0,0,0,0
A00022-10,0,0,0,0,0,0,0,1,0,0,0
A00022-13,0,0,0,0,0,0,1,0,0,0,0
A00022-15,0,0,0,0,0,0,1,0,0,0,0
A00022-16,0,0,0,0,0,0,0,1,0,0,0
A00022-17,0,0,0,0,0,0,1,0,0,0,0
A00022-18,0,0,0,0,0,0,1,0,0,0,0
A00023-04,0,0,0,1,0,0,0,0,0,0,0
A00023-13,0,0,0,0,0,0,1,0,0,0,0
A00023-16,0,0,0,0,0,0,1,0,0,0,0
A00023-19,0,0,0,0,0,0,1,0,0,0,0
A00023-20,0,0,0,0,0,0,1,0,0,0,0
A00023-21,0,0,0,0,0,0,1,0,0,0,0
A00023-22,0,0,0,0,0,0,1,0,0,0,0
A00023-27,0,0,0,0,0,0,1,0,0,0,0
A00024-07,0,0,0,0,0,0,0,1,0,0,0
A00024-15,0,0,0,0,0,0,0,1,0,0,0
A00024-22,0,0,0,0,0,0,0,1,0,0,0
A00024-25,0,0,0,0,0,0,0,1,0,0,0
A00024-29,0,0,0,0,0,0,0,1,0,0,0
A00024-31,0,0,0,0,0,0,0,1,0,0,0
A00025-14,0,0,0,1,0,0,0,0,0,0,0
A00025-16,0,0,0,1,0,0,0,0,0,0,0
A00025-24,0,0,0,1,0,0,0,0,0,0,0
A00025-25,0,0,0,1,0,0,0,0,0,0,0
A00026-06,0,0,0,0,0,0,0,1,0,0,0
A00026-07,0,0,0,0,0,0,0,1,0,0,0
A00026-08,0,0,1,0,0,0,0,0,0,0,0
A00026-09,0,0,0,0,0,0,0,1,0,0,0
A00026-11,0,0,1,0,0,0,0,0,0,0,0
A00026-13,0,0,1,0,0,0,0,0,0,0,0
A00026-17,0,0,1,0,0,0,0,0,0,0,0
A00026-24,0,0,0,0,0,0,0,1,0,0,0
A00026-31,0,0,1,0,0,0,0,0,0,0,0
A00027-03,0,0,1,0,0,0,0,0,0,0,0
A00027-04,0,0,1,0,0,0,0,0,0,0,0
A00027-20,0,0,1,0,0,0,0,0,0,0,0
A00027-21,0,0,1,0,0,0,0,0,0,0,0
A00027-23,0,0,1,0,0,0,0,0,0,0,0
A00028-02,0,0,0,1,0,0,0,0,0,0,0
A00028-08,0,0,0,1,0,0,0,0,0,0,0
A00028-09,0,0,0,1,0,0,0,0,0,0,0
A00028-10,0,0,0,1,0,0,0,0,0,0,0
A00028-12,0,0,0,1,0,0,0,0,0,0,0
A00028-22,0,0,1,0,0,0,0,0,0,0,0
A00028-23,0,0,0,0,1,0,0,0,0,0,0
A00028-24,0,0,0,0,1,0,0,0,0,0,0
A00028-26,0,0,0,0,1,0,0,0,0,0,0
A00029-03,0,0,0,1,0,0,0,0,0,0,0
A00029-06,0,0,0,0,0,0,0,1,0,0,0
A00029-10,0,0,0,0,0,0,0,1,0,0,0
A00029-18,0,0,0,0,0,0,0,1,0,0,0
A00029-19,0,0,0,0,0,0,1,0,0,0,0
